nombre,presentacion,precio_presentacion_iva,precio_unitario,plataforma
1)NEBNext FFPE DNA Repair Buffer (0.624 ml) y NEBNext FFPE DNA Repair Mix (0.192 ml),96,"20,020.99",208.55,2
2)NEBNext FFPE DNA Repair Buffer (0.624 ml) y NEBNext FFPE DNA Repair Mix (0.192 ml),96,"20,020.99",208.55,2
3)NEBNext FFPE DNA Repair Buffer (0.624 ml) y NEBNext FFPE DNA Repair Mix (0.192 ml),384,"20,020.99",52.14,2
1)Ultra II End-prep reaction buffer(0.672 ml)Ultra II End-prep enzyme mix (0.288 ml),96,"27,681.20",288.35,2
2)Ultra II End-prep reaction buffer(0.672 ml)Ultra II End-prep enzyme mix (0.288 ml),96,"27,681.20",288.35,2
3)Ultra II End-prep reaction buffer(0.672 ml)Ultra II End-prep enzyme mix (0.288 ml),384,"27,681.20",72.09,2
Blunt/TA Ligase Master Mix (1.25 ml),1250,"15,160.18",12.13,2
1)NEBNext Quick Ligation Reaction Buffer (1 ml) y NEBNext Quick T4 DNA Ligase (0.5 ml),50,"48,438.62",968.77,2
2)NEBNext Quick Ligation Reaction Buffer (1 ml) y NEBNext Quick T4 DNA Ligase (0.5 ml),50,"48,438.62",968.77,2
3)NEBNext Quick Ligation Reaction Buffer (1 ml) y NEBNext Quick T4 DNA Ligase (0.5 ml),100,"48,438.62",484.39,2
Flow Cell Priming Kit XL (EXP-FLP004-XL),48,"3,780.00",78.75,2
Native Barcoding Kit 24 V14 (SQK-NBD114.24),8,"14,679.00","1,834.88",2
Ligation Sequencing Kit XL V14 (SQK-LSK114-XL),48,"84,000.00","1,750.00",2
PCR Barcoding Expansion Pack 1-96     (EXP-PBC096),96,"35,700.00",371.88,2
Flow Cell R10.4.1 (FLO-MIN114)GB,10,"18,900.00","1,890.00",2
Flow Cell Wash Kit XL (EXP-WSH004-XL),48,"9,072.00",189.00,2
Direct RNA Sequencing Kit (SQK-RNA002)+ Flowcell Primming Kit),6,"12,579.00","2,096.50",2
Ligation Sequencing Kit V14 (SQK-LSK114),6,"12,579.00","2,096.50",2
Short Fragment Eliminator Expansion (EXP-SFE001),30,"2,079.00",69.30,2
PCR-cDNA Barcoding Kit SQK-PCB111.24,6,"15,750.00","2,625.00",2
Native Barcoding Kit 96 V14 SQK-NBD114.96,16,"16,779.00","1,048.69",2
Control Expansion Kit EXP-CTL001,24,"1,260.00",52.50,2
Flow Cell Wash Kit EXP-WSH004,6,"2,079.00",346.50,2
Bovine Serum Albumin(BSA)50mg/ml(ul),,,,2
Native Barcoding Auxiliary Kit V14 (EXP-NBA114),12,"6,048.00",504.00,2
Native Barcoding Auxiliary Kit V14, ,,,2
KIT ILLUMINA DNAprep 96 RXN,192,"74,209.82",386.51,1
BIOANALYZER DNA 1000,300,"31,625.08",105.42,1
BIOANALYZER RNA NANO 6000,300,"35,206.00",117.35,1
SYBERGREEN(25 mL; 5ul por RXN),25000,"21,850.92",4.37,1
KIT Illumina mRNA stranded prep,96,"86,469.96",900.73,1
"Nextera XT Index Kit v2 Set A (96 indexes, 384 samples)",768,"19,983.24",26.02,1
tags set B illumina,768,"19,983.24",26.02,1
